SOURCETYPE,DISIPLINE,MASTER REF,UNIT,AREA,ISO,ITR,IDENTCODE,GROUP,PART,TAGNUMBER,SIZE1,SIZE2,SIZE3,SIZE4,SHORT DESC,DESCRIPTION,QTY,UNIT,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0AAA1000-80,80,, ,210,FLLJ0AAA1000                                      ,FLANGE LAP-JOINT CL. 150 RF A105,3,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0AAA1000-100,100,, ,210,FLLJ0AAA1000                                      ,FLANGE LAP-JOINT CL. 150 RF A105,4,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0ACA1000-50,50,, ,210,FLLJ0ACA1000                                      ,FLANGE LAP-JOINT CL. 150 FF A105,6,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0ACA1000-100,100,, ,210,FLLJ0ACA1000                                      ,FLANGE LAP-JOINT CL. 150 FF A105,18,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0ACA1000-150,150,, ,210,FLLJ0ACA1000                                      ,FLANGE LAP-JOINT CL. 150 FF A105,87,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0ACA1000-200,200,, ,210,FLLJ0ACA1000                                      ,FLANGE LAP-JOINT CL. 150 FF A105,30,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLLJ0ACA1000-250,250,, ,210,FLLJ0ACA1000                                      ,FLANGE LAP-JOINT CL. 150 FF A105,43,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLSO0BAA1000-50,50,, ,210,FLSO0BAA1000                                      ,FLANGE SLIP-ON CL. 300 RF A105,7,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLSW0AAA1000-20,20,, ,210,FLSW0AAA1000                                      ,FLANGE SW CL. 150 RF A105,581,EA,
BULK,P,SITE,1,KB064-L21000,KB064-L21000,TAG WO MS, ,PF,FP,FLSW0AAA1000-25,25,, ,210,FLSW0AAA1000                                      ,FLANGE SW CL. 150 RF A105,1103,EA,
